threshold,mecA_TP_AMRFINDER,mecA_FP_AMRFINDER,mecA_TN_AMRFINDER,mecA_FN_AMRFINDER,lukF_TP_AMRFINDER,lukF_FP_AMRFINDER,lukF_TN_AMRFINDER,lukF_FN_AMRFINDER,lukS_TP_AMRFINDER,lukS_FP_AMRFINDER,lukS_TN_AMRFINDER,lukS_FN_AMRFINDER,mecA_sensitivity_AMRFINDER,mecA_specificity_AMRFINDER,lukF_sensitivity_AMRFINDER,lukF_specificity_AMRFINDER,lukS_sensitivity_AMRFINDER,lukS_specificity_AMRFINDER,mean_estimated_coverage,n_kmer,n_reads
0.05,68,2,86,9,55,8,85,17,47,1,91,26,0.883116883116883,0.977272727272727,0.763888888888889,0.913978494623656,0.643835616438356,0.989130434782609,0.208392963203463,700,4000
0.05,68,2,86,9,56,11,82,16,47,2,90,26,0.883116883116883,0.977272727272727,0.777777777777778,0.881720430107527,0.643835616438356,0.978260869565217,0.208392963203463,800,4000
0.05,68,2,86,9,55,10,83,17,47,2,90,26,0.883116883116883,0.977272727272727,0.763888888888889,0.89247311827957,0.643835616438356,0.978260869565217,0.208392963203463,900,4000
0.05,68,2,86,9,54,8,85,18,47,1,91,26,0.883116883116883,0.977272727272727,0.75,0.913978494623656,0.643835616438356,0.989130434782609,0.208392963203463,all,4000
0.05,73,5,83,4,58,8,85,14,54,12,80,19,0.948051948051948,0.943181818181818,0.805555555555556,0.913978494623656,0.73972602739726,0.869565217391304,0.260474452380952,100,5000
0.05,73,3,85,4,60,10,83,12,55,5,87,18,0.948051948051948,0.965909090909091,0.833333333333333,0.89247311827957,0.753424657534247,0.945652173913043,0.260474452380952,200,5000
0.05,72,2,86,5,60,10,83,12,55,4,88,18,0.935064935064935,0.977272727272727,0.833333333333333,0.89247311827957,0.753424657534247,0.956521739130435,0.260474452380952,300,5000
0.05,73,2,86,4,62,25,68,10,57,5,87,16,0.948051948051948,0.977272727272727,0.861111111111111,0.731182795698925,0.780821917808219,0.945652173913043,0.260474452380952,400,5000
0.05,72,2,86,5,62,18,75,10,57,3,89,16,0.935064935064935,0.977272727272727,0.861111111111111,0.806451612903226,0.780821917808219,0.967391304347826,0.260474452380952,500,5000
0.05,72,2,86,5,58,10,83,14,56,4,88,17,0.935064935064935,0.977272727272727,0.805555555555556,0.89247311827957,0.767123287671233,0.956521739130435,0.260474452380952,600,5000
0.05,72,2,86,5,61,19,74,11,56,2,90,17,0.935064935064935,0.977272727272727,0.847222222222222,0.795698924731183,0.767123287671233,0.978260869565217,0.260474452380952,700,5000
0.05,72,2,86,5,61,18,75,11,56,3,89,17,0.935064935064935,0.977272727272727,0.847222222222222,0.806451612903226,0.767123287671233,0.967391304347826,0.260474452380952,800,5000
0.05,73,2,86,4,62,17,76,10,55,3,89,18,0.948051948051948,0.977272727272727,0.861111111111111,0.817204301075269,0.753424657534247,0.967391304347826,0.260474452380952,900,5000
0.05,72,2,86,5,62,15,78,10,55,2,90,18,0.935064935064935,0.977272727272727,0.861111111111111,0.838709677419355,0.753424657534247,0.978260869565217,0.260474452380952,all,5000
0.05,75,9,79,2,63,11,82,9,59,17,75,14,0.974025974025974,0.897727272727273,0.875,0.881720430107527,0.808219178082192,0.815217391304348,0.312531655844156,100,6000
0.05,74,5,83,3,64,15,78,8,62,8,84,11,0.961038961038961,0.943181818181818,0.888888888888889,0.838709677419355,0.849315068493151,0.91304347826087,0.312531655844156,200,6000
0.05,74,3,85,3,64,18,75,8,60,5,87,13,0.961038961038961,0.965909090909091,0.888888888888889,0.806451612903226,0.821917808219178,0.945652173913043,0.312531655844156,300,6000
0.05,75,3,85,2,66,39,54,6,62,8,84,11,0.974025974025974,0.965909090909091,0.916666666666667,0.580645161290323,0.849315068493151,0.91304347826087,0.312531655844156,400,6000
0.05,73,3,85,4,66,29,64,6,62,4,88,11,0.948051948051948,0.965909090909091,0.916666666666667,0.688172043010753,0.849315068493151,0.956521739130435,0.312531655844156,500,6000
0.05,73,3,85,4,63,19,74,9,62,9,83,11,0.948051948051948,0.965909090909091,0.875,0.795698924731183,0.849315068493151,0.902173913043478,0.312531655844156,600,6000
0.05,73,3,85,4,66,30,63,6,62,5,87,11,0.948051948051948,0.965909090909091,0.916666666666667,0.67741935483871,0.849315068493151,0.945652173913043,0.312531655844156,700,6000
0.05,73,3,85,4,66,30,63,6,62,5,87,11,0.948051948051948,0.965909090909091,0.916666666666667,0.67741935483871,0.849315068493151,0.945652173913043,0.312531655844156,800,6000
0.05,75,3,85,2,66,31,62,6,62,5,87,11,0.974025974025974,0.965909090909091,0.916666666666667,0.666666666666667,0.849315068493151,0.945652173913043,0.312531655844156,900,6000
0.05,73,3,85,4,66,26,67,6,62,4,88,11,0.948051948051948,0.965909090909091,0.916666666666667,0.720430107526882,0.849315068493151,0.956521739130435,0.312531655844156,all,6000
0.05,75,10,78,2,66,16,77,6,63,23,69,10,0.974025974025974,0.886363636363636,0.916666666666667,0.827956989247312,0.863013698630137,0.75,0.364575491341991,100,7000
0.05,75,7,81,2,66,21,72,6,67,11,81,6,0.974025974025974,0.920454545454545,0.916666666666667,0.774193548387097,0.917808219178082,0.880434782608696,0.364575491341991,200,7000
0.05,75,3,85,2,66,28,65,6,65,6,86,8,0.974025974025974,0.965909090909091,0.916666666666667,0.698924731182796,0.89041095890411,0.934782608695652,0.364575491341991,300,7000
0.05,76,3,85,1,66,47,46,6,66,14,78,7,0.987012987012987,0.965909090909091,0.916666666666667,0.494623655913979,0.904109589041096,0.847826086956522,0.364575491341991,400,7000
0.05,75,3,85,2,68,37,56,4,65,7,85,8,0.974025974025974,0.965909090909091,0.944444444444444,0.602150537634409,0.89041095890411,0.923913043478261,0.364575491341991,500,7000
0.05,75,3,85,2,65,30,63,7,66,11,81,7,0.974025974025974,0.965909090909091,0.902777777777778,0.67741935483871,0.904109589041096,0.880434782608696,0.364575491341991,600,7000
0.05,75,3,85,2,68,42,51,4,66,9,83,7,0.974025974025974,0.965909090909091,0.944444444444444,0.548387096774194,0.904109589041096,0.902173913043478,0.364575491341991,700,7000
0.05,75,3,85,2,67,41,52,5,66,9,83,7,0.974025974025974,0.965909090909091,0.930555555555556,0.559139784946237,0.904109589041096,0.902173913043478,0.364575491341991,800,7000
0.05,76,3,85,1,67,41,52,5,66,6,86,7,0.987012987012987,0.965909090909091,0.930555555555556,0.559139784946237,0.904109589041096,0.934782608695652,0.364575491341991,900,7000
0.05,75,3,85,2,67,38,55,5,66,6,86,7,0.974025974025974,0.965909090909091,0.930555555555556,0.591397849462366,0.904109589041096,0.934782608695652,0.364575491341991,all,7000
0.05,77,11,77,0,69,24,69,3,67,27,65,6,1,0.875,0.958333333333333,0.741935483870968,0.917808219178082,0.706521739130435,0.416625766233766,100,8000
0.05,77,9,79,0,67,31,62,5,69,13,79,4,1,0.897727272727273,0.930555555555556,0.666666666666667,0.945205479452055,0.858695652173913,0.416625766233766,200,8000
0.05,76,3,85,1,68,42,51,4,69,8,84,4,0.987012987012987,0.965909090909091,0.944444444444444,0.548387096774194,0.945205479452055,0.91304347826087,0.416625766233766,300,8000
0.05,77,3,85,0,69,53,40,3,69,14,78,4,1,0.965909090909091,0.958333333333333,0.43010752688172,0.945205479452055,0.847826086956522,0.416625766233766,400,8000
0.05,76,3,85,1,69,47,46,3,68,7,85,5,0.987012987012987,0.965909090909091,0.958333333333333,0.494623655913979,0.931506849315068,0.923913043478261,0.416625766233766,500,8000
0.05,76,3,85,1,67,37,56,5,69,11,81,4,0.987012987012987,0.965909090909091,0.930555555555556,0.602150537634409,0.945205479452055,0.880434782608696,0.416625766233766,600,8000
0.05,76,3,85,1,68,53,40,4,69,10,82,4,0.987012987012987,0.965909090909091,0.944444444444444,0.43010752688172,0.945205479452055,0.891304347826087,0.416625766233766,700,8000
0.05,76,3,85,1,68,53,40,4,69,10,82,4,0.987012987012987,0.965909090909091,0.944444444444444,0.43010752688172,0.945205479452055,0.891304347826087,0.416625766233766,800,8000
0.05,77,3,85,0,68,50,43,4,69,8,84,4,1,0.965909090909091,0.944444444444444,0.462365591397849,0.945205479452055,0.91304347826087,0.416625766233766,900,8000
0.05,77,3,85,0,68,48,45,4,69,7,85,4,1,0.965909090909091,0.944444444444444,0.483870967741936,0.945205479452055,0.923913043478261,0.416625766233766,all,8000
0.1,18,0,88,59,14,1,92,58,19,0,92,54,0.233766233766234,1,0.194444444444444,0.989247311827957,0.26027397260274,1,0.0521236536796537,100,1000
0.1,13,0,88,64,14,0,93,58,17,0,92,56,0.168831168831169,1,0.194444444444444,1,0.232876712328767,1,0.0521236536796537,200,1000
0.1,12,0,88,65,15,0,93,57,18,0,92,55,0.155844155844156,1,0.208333333333333,1,0.246575342465753,1,0.0521236536796537,300,1000
0.1,10,0,88,67,15,0,93,57,19,0,92,54,0.12987012987013,1,0.208333333333333,1,0.26027397260274,1,0.0521236536796537,400,1000
0.1,11,0,88,66,15,0,93,57,19,0,92,54,0.142857142857143,1,0.208333333333333,1,0.26027397260274,1,0.0521236536796537,500,1000
0.1,10,0,88,67,15,0,93,57,19,0,92,54,0.12987012987013,1,0.208333333333333,1,0.26027397260274,1,0.0521236536796537,600,1000
0.1,10,0,88,67,15,0,93,57,19,0,92,54,0.12987012987013,1,0.208333333333333,1,0.26027397260274,1,0.0521236536796537,700,1000
0.1,11,0,88,66,15,0,93,57,19,0,92,54,0.142857142857143,1,0.208333333333333,1,0.26027397260274,1,0.0521236536796537,800,1000
0.1,11,0,88,66,15,0,93,57,19,0,92,54,0.142857142857143,1,0.208333333333333,1,0.26027397260274,1,0.0521236536796537,900,1000
0.1,10,0,88,67,15,0,93,57,19,0,92,54,0.12987012987013,1,0.208333333333333,1,0.26027397260274,1,0.0521236536796537,all,1000
0.1,38,2,86,39,29,1,92,43,28,1,91,45,0.493506493506494,0.977272727272727,0.402777777777778,0.989247311827957,0.383561643835616,0.989130434782609,0.104201056277056,100,2000
0.1,32,1,87,45,27,0,93,45,25,1,91,48,0.415584415584416,0.988636363636364,0.375,1,0.342465753424658,0.989130434782609,0.104201056277056,200,2000
0.1,29,1,87,48,28,0,93,44,26,1,91,47,0.376623376623377,0.988636363636364,0.388888888888889,1,0.356164383561644,0.989130434782609,0.104201056277056,300,2000
0.1,32,1,87,45,30,0,93,42,26,1,91,47,0.415584415584416,0.988636363636364,0.416666666666667,1,0.356164383561644,0.989130434782609,0.104201056277056,400,2000
0.1,31,1,87,46,29,0,93,43,26,1,91,47,0.402597402597403,0.988636363636364,0.402777777777778,1,0.356164383561644,0.989130434782609,0.104201056277056,500,2000
0.1,29,1,87,48,29,0,93,43,26,1,91,47,0.376623376623377,0.988636363636364,0.402777777777778,1,0.356164383561644,0.989130434782609,0.104201056277056,600,2000
0.1,32,1,87,45,29,0,93,43,26,1,91,47,0.415584415584416,0.988636363636364,0.402777777777778,1,0.356164383561644,0.989130434782609,0.104201056277056,700,2000
0.1,30,1,87,47,29,0,93,43,26,1,91,47,0.38961038961039,0.988636363636364,0.402777777777778,1,0.356164383561644,0.989130434782609,0.104201056277056,800,2000
0.1,30,1,87,47,29,0,93,43,26,1,91,47,0.38961038961039,0.988636363636364,0.402777777777778,1,0.356164383561644,0.989130434782609,0.104201056277056,900,2000
0.1,31,1,87,46,29,0,93,43,26,1,91,47,0.402597402597403,0.988636363636364,0.402777777777778,1,0.356164383561644,0.989130434782609,0.104201056277056,all,2000
0.1,50,2,86,27,35,1,92,37,39,1,91,34,0.649350649350649,0.977272727272727,0.486111111111111,0.989247311827957,0.534246575342466,0.989130434782609,0.156307692640693,100,3000
0.1,49,1,87,28,33,0,93,39,38,1,91,35,0.636363636363636,0.988636363636364,0.458333333333333,1,0.520547945205479,0.989130434782609,0.156307692640693,200,3000
0.1,48,1,87,29,36,0,93,36,40,1,91,33,0.623376623376623,0.988636363636364,0.5,1,0.547945205479452,0.989130434782609,0.156307692640693,300,3000
0.1,47,1,87,30,35,0,93,37,38,1,91,35,0.61038961038961,0.988636363636364,0.486111111111111,1,0.520547945205479,0.989130434782609,0.156307692640693,400,3000
0.1,46,1,87,31,34,0,93,38,38,1,91,35,0.597402597402597,0.988636363636364,0.472222222222222,1,0.520547945205479,0.989130434782609,0.156307692640693,500,3000
0.1,46,1,87,31,34,0,93,38,38,1,91,35,0.597402597402597,0.988636363636364,0.472222222222222,1,0.520547945205479,0.989130434782609,0.156307692640693,600,3000
0.1,48,1,87,29,34,0,93,38,38,1,91,35,0.623376623376623,0.988636363636364,0.472222222222222,1,0.520547945205479,0.989130434782609,0.156307692640693,700,3000
0.1,49,1,87,28,34,0,93,38,38,1,91,35,0.636363636363636,0.988636363636364,0.472222222222222,1,0.520547945205479,0.989130434782609,0.156307692640693,800,3000
0.1,47,1,87,30,34,0,93,38,38,1,91,35,0.61038961038961,0.988636363636364,0.472222222222222,1,0.520547945205479,0.989130434782609,0.156307692640693,900,3000
0.1,47,1,87,30,34,0,93,38,38,1,91,35,0.61038961038961,0.988636363636364,0.472222222222222,1,0.520547945205479,0.989130434782609,0.156307692640693,all,3000
0.1,61,2,86,16,47,1,92,25,45,1,91,28,0.792207792207792,0.977272727272727,0.652777777777778,0.989247311827957,0.616438356164384,0.989130434782609,0.208392963203463,100,4000
0.1,62,1,87,15,44,1,92,28,43,1,91,30,0.805194805194805,0.988636363636364,0.611111111111111,0.989247311827957,0.589041095890411,0.989130434782609,0.208392963203463,200,4000
0.1,61,1,87,16,47,1,92,25,45,1,91,28,0.792207792207792,0.988636363636364,0.652777777777778,0.989247311827957,0.616438356164384,0.989130434782609,0.208392963203463,300,4000
0.1,61,2,86,16,45,1,92,27,43,1,91,30,0.792207792207792,0.977272727272727,0.625,0.989247311827957,0.589041095890411,0.989130434782609,0.208392963203463,400,4000
0.1,62,1,87,15,46,1,92,26,43,1,91,30,0.805194805194805,0.988636363636364,0.638888888888889,0.989247311827957,0.589041095890411,0.989130434782609,0.208392963203463,500,4000
0.1,61,1,87,16,45,1,92,27,43,1,91,30,0.792207792207792,0.988636363636364,0.625,0.989247311827957,0.589041095890411,0.989130434782609,0.208392963203463,600,4000
0.1,60,1,87,17,44,1,92,28,43,1,91,30,0.779220779220779,0.988636363636364,0.611111111111111,0.989247311827957,0.589041095890411,0.989130434782609,0.208392963203463,700,4000
0.1,61,1,87,16,46,1,92,26,43,1,91,30,0.792207792207792,0.988636363636364,0.638888888888889,0.989247311827957,0.589041095890411,0.989130434782609,0.208392963203463,800,4000
0.1,61,1,87,16,45,1,92,27,43,1,91,30,0.792207792207792,0.988636363636364,0.625,0.989247311827957,0.589041095890411,0.989130434782609,0.208392963203463,900,4000
0.1,61,1,87,16,45,1,92,27,43,1,91,30,0.792207792207792,0.988636363636364,0.625,0.989247311827957,0.589041095890411,0.989130434782609,0.208392963203463,all,4000
0.1,67,2,86,10,53,1,92,19,50,1,91,23,0.87012987012987,0.977272727272727,0.736111111111111,0.989247311827957,0.684931506849315,0.989130434782609,0.260474452380952,100,5000
0.1,65,2,86,12,50,1,92,22,50,1,91,23,0.844155844155844,0.977272727272727,0.694444444444445,0.989247311827957,0.684931506849315,0.989130434782609,0.260474452380952,200,5000
0.1,64,1,87,13,53,1,92,19,50,1,91,23,0.831168831168831,0.988636363636364,0.736111111111111,0.989247311827957,0.684931506849315,0.989130434782609,0.260474452380952,300,5000
0.1,65,2,86,12,52,1,92,20,50,1,91,23,0.844155844155844,0.977272727272727,0.722222222222222,0.989247311827957,0.684931506849315,0.989130434782609,0.260474452380952,400,5000
0.1,65,1,87,12,53,1,92,19,51,1,91,22,0.844155844155844,0.988636363636364,0.736111111111111,0.989247311827957,0.698630136986301,0.989130434782609,0.260474452380952,500,5000
0.1,65,1,87,12,51,1,92,21,49,1,91,24,0.844155844155844,0.988636363636364,0.708333333333333,0.989247311827957,0.671232876712329,0.989130434782609,0.260474452380952,600,5000
0.1,63,1,87,14,51,1,92,21,49,1,91,24,0.818181818181818,0.988636363636364,0.708333333333333,0.989247311827957,0.671232876712329,0.989130434782609,0.260474452380952,700,5000
0.1,64,1,87,13,51,1,92,21,49,1,91,24,0.831168831168831,0.988636363636364,0.708333333333333,0.989247311827957,0.671232876712329,0.989130434782609,0.260474452380952,800,5000
0.1,63,1,87,14,51,1,92,21,50,1,91,23,0.818181818181818,0.988636363636364,0.708333333333333,0.989247311827957,0.684931506849315,0.989130434782609,0.260474452380952,900,5000
0.1,63,1,87,14,51,1,92,21,50,1,91,23,0.818181818181818,0.988636363636364,0.708333333333333,0.989247311827957,0.684931506849315,0.989130434782609,0.260474452380952,all,5000
0.1,70,2,86,7,58,1,92,14,57,3,89,16,0.909090909090909,0.977272727272727,0.805555555555556,0.989247311827957,0.780821917808219,0.967391304347826,0.312531655844156,100,6000
0.1,69,3,85,8,52,1,92,20,55,1,91,18,0.896103896103896,0.965909090909091,0.722222222222222,0.989247311827957,0.753424657534247,0.989130434782609,0.312531655844156,200,6000
0.1,69,1,87,8,58,1,92,14,56,1,91,17,0.896103896103896,0.988636363636364,0.805555555555556,0.989247311827957,0.767123287671233,0.989130434782609,0.312531655844156,300,6000
0.1,70,2,86,7,58,2,91,14,55,1,91,18,0.909090909090909,0.977272727272727,0.805555555555556,0.978494623655914,0.753424657534247,0.989130434782609,0.312531655844156,400,6000
0.1,68,1,87,9,57,1,92,15,56,1,91,17,0.883116883116883,0.988636363636364,0.791666666666667,0.989247311827957,0.767123287671233,0.989130434782609,0.312531655844156,500,6000
0.1,68,2,86,9,56,1,92,16,54,1,91,19,0.883116883116883,0.977272727272727,0.777777777777778,0.989247311827957,0.73972602739726,0.989130434782609,0.312531655844156,600,6000
0.1,69,1,87,8,56,1,92,16,55,1,91,18,0.896103896103896,0.988636363636364,0.777777777777778,0.989247311827957,0.753424657534247,0.989130434782609,0.312531655844156,700,6000
0.1,69,1,87,8,56,1,92,16,55,1,91,18,0.896103896103896,0.988636363636364,0.777777777777778,0.989247311827957,0.753424657534247,0.989130434782609,0.312531655844156,800,6000
0.1,69,1,87,8,56,1,92,16,56,1,91,17,0.896103896103896,0.988636363636364,0.777777777777778,0.989247311827957,0.767123287671233,0.989130434782609,0.312531655844156,900,6000
0.1,68,1,87,9,56,1,92,16,56,1,91,17,0.883116883116883,0.988636363636364,0.777777777777778,0.989247311827957,0.767123287671233,0.989130434782609,0.312531655844156,all,6000
0.1,72,2,86,5,61,1,92,11,60,3,89,13,0.935064935064935,0.977272727272727,0.847222222222222,0.989247311827957,0.821917808219178,0.967391304347826,0.364575491341991,100,7000
0.1,72,3,85,5,58,1,92,14,60,1,91,13,0.935064935064935,0.965909090909091,0.805555555555556,0.989247311827957,0.821917808219178,0.989130434782609,0.364575491341991,200,7000
0.1,73,1,87,4,61,1,92,11,61,1,91,12,0.948051948051948,0.988636363636364,0.847222222222222,0.989247311827957,0.835616438356164,0.989130434782609,0.364575491341991,300,7000
0.1,73,2,86,4,61,2,91,11,61,1,91,12,0.948051948051948,0.977272727272727,0.847222222222222,0.978494623655914,0.835616438356164,0.989130434782609,0.364575491341991,400,7000
0.1,71,1,87,6,60,2,91,12,60,1,91,13,0.922077922077922,0.988636363636364,0.833333333333333,0.978494623655914,0.821917808219178,0.989130434782609,0.364575491341991,500,7000
0.1,72,2,86,5,59,1,92,13,61,1,91,12,0.935064935064935,0.977272727272727,0.819444444444445,0.989247311827957,0.835616438356164,0.989130434782609,0.364575491341991,600,7000
0.1,72,1,87,5,60,2,91,12,61,1,91,12,0.935064935064935,0.988636363636364,0.833333333333333,0.978494623655914,0.835616438356164,0.989130434782609,0.364575491341991,700,7000
0.1,72,1,87,5,60,2,91,12,61,1,91,12,0.935064935064935,0.988636363636364,0.833333333333333,0.978494623655914,0.835616438356164,0.989130434782609,0.364575491341991,800,7000
0.1,73,2,86,4,60,2,91,12,61,1,91,12,0.948051948051948,0.977272727272727,0.833333333333333,0.978494623655914,0.835616438356164,0.989130434782609,0.364575491341991,900,7000
0.1,72,1,87,5,60,2,91,12,61,1,91,12,0.935064935064935,0.988636363636364,0.833333333333333,0.978494623655914,0.835616438356164,0.989130434782609,0.364575491341991,all,7000
0.1,74,2,86,3,65,1,92,7,62,3,89,11,0.961038961038961,0.977272727272727,0.902777777777778,0.989247311827957,0.849315068493151,0.967391304347826,0.416625766233766,100,8000
0.1,74,3,85,3,63,1,92,9,65,1,91,8,0.961038961038961,0.965909090909091,0.875,0.989247311827957,0.89041095890411,0.989130434782609,0.416625766233766,200,8000
