pubmlst_id,resolution,reads,predicted_MLST.CC,predicted_MLST.ST,predicted_mecA,predicted_pvl,shared_hashes,MLST.CC,CC_filled,predicted_mlst_is_single,predicted_cc_is_correct,predicted_st_is_correct,predicted_mlst_is_correct
34211,1k,5000,CC8,239,MRSA,PVL*,63,CC8,CC8,TRUE,TRUE,FALSE,TRUE
34211,10k,1000,CC8,239,MRSA,PVL*,1486,CC8,CC8,TRUE,TRUE,FALSE,TRUE
34211,10k,2000,CC8,239,MRSA,PVL*,1086,CC8,CC8,TRUE,TRUE,FALSE,TRUE
34211,10k,3000,CC8,239,MRSA,PVL*,824,CC8,CC8,TRUE,TRUE,FALSE,TRUE
34211,10k,4000,CC8,239,MRSA,PVL*,669,CC8,CC8,TRUE,TRUE,FALSE,TRUE
34211,10k,5000,CC8,239,MRSA,PVL*,568,CC8,CC8,TRUE,TRUE,FALSE,TRUE
34211,10k,6000,CC8,239,MRSA,PVL*,495,CC8,CC8,TRUE,TRUE,FALSE,TRUE
34211,10k,7000,CC8,239,MRSA,PVL*,437,CC8,CC8,TRUE,TRUE,FALSE,TRUE
34211,10k,8000,CC8,239,MRSA,PVL*,397,CC8,CC8,TRUE,TRUE,FALSE,TRUE
34290,1k,8000,"CC22,CC121","22,51,121,123","MRSA,MSSA","PVL-,PVL*,PVL+",43,"",CC121,FALSE,TRUE,TRUE,TRUE
34290,1k,6000,CC121,121,MSSA,PVL+,53,"",CC121,TRUE,TRUE,TRUE,TRUE
34290,1k,7000,CC121,"51,121",MSSA,"PVL*,PVL+",47,"",CC121,TRUE,TRUE,TRUE,TRUE
34290,1k,1000,CC121,121,MSSA,PVL+,169,"",CC121,TRUE,TRUE,TRUE,TRUE
34290,1k,2000,CC121,123,MSSA,PVL*,118,"",CC121,TRUE,TRUE,FALSE,TRUE
34290,1k,3000,CC121,"123,1413",MSSA,"PVL*,PVL+",90,"",CC121,TRUE,TRUE,FALSE,TRUE
34290,1k,4000,CC121,1413,MSSA,PVL+,76,"",CC121,TRUE,TRUE,FALSE,TRUE
34290,1k,5000,CC121,123,MSSA,PVL*,63,"",CC121,TRUE,TRUE,FALSE,TRUE
34290,10k,1000,CC121,121,MSSA,PVL+,1438,"",CC121,TRUE,TRUE,TRUE,TRUE
34290,10k,2000,CC121,121,MSSA,PVL+,1063,"",CC121,TRUE,TRUE,TRUE,TRUE
34290,10k,3000,CC121,121,MSSA,PVL+,785,"",CC121,TRUE,TRUE,TRUE,TRUE
34290,10k,4000,CC121,121,MSSA,PVL+,650,"",CC121,TRUE,TRUE,TRUE,TRUE
34290,10k,5000,CC121,121,MSSA,PVL+,567,"",CC121,TRUE,TRUE,TRUE,TRUE
34290,10k,6000,CC121,121,MSSA,PVL+,500,"",CC121,TRUE,TRUE,TRUE,TRUE
34290,10k,7000,CC121,121,MSSA,PVL+,444,"",CC121,TRUE,TRUE,TRUE,TRUE
34290,10k,8000,CC121,121,MSSA,PVL+,403,"",CC121,TRUE,TRUE,TRUE,TRUE
35605,1k,6000,"CC22,CC45","22,45",MRSA,PVL-,47,CC45,CC45,FALSE,TRUE,TRUE,TRUE
35605,1k,7000,CC22,22,MRSA,PVL-,41,CC45,CC45,TRUE,FALSE,FALSE,FALSE
35605,1k,8000,"CC22,CC5","22,149",MRSA,"PVL-,PVL*",40,CC45,CC45,FALSE,FALSE,FALSE,FALSE
35605,1k,1000,CC45,45,MSSA,PVL-,147,CC45,CC45,TRUE,TRUE,TRUE,TRUE
