seq_name,mecA,lukF_PV,lukS_PV,id,estimated_coverage,reads_used,mecA_rcount,mecA_prop,lukS_rcount,lukS_prop,lukF_rcount,lukF_prop,n_sequence_used
38717_7726_MF_64,FALSE,FALSE,FALSE,38717,26.1768678571429,8000,877,0.354444444444444,705,0.343333333333333,781,0.391111111111111,900
38717_7726_MF_64,FALSE,FALSE,FALSE,38717,3.32722428571429,1000,217,0.108216432865731,93,0.119047619047619,109,0.134436401240951,all
38717_7726_MF_64,FALSE,FALSE,FALSE,38717,6.58468892857143,2000,418,0.164829659318637,183,0.167748917748918,201,0.184074457083764,all
38717_7726_MF_64,FALSE,FALSE,FALSE,38717,9.92763285714286,3000,629,0.207915831663327,279,0.201298701298701,313,0.230610134436401,all
38717_7726_MF_64,FALSE,FALSE,FALSE,38717,13.2611392857143,4000,825,0.243987975951904,364,0.227272727272727,441,0.286452947259566,all
38717_7726_MF_64,FALSE,FALSE,FALSE,38717,16.3831353571429,5000,1018,0.278056112224449,455,0.265151515151515,561,0.309203722854188,all
38717_7726_MF_64,FALSE,FALSE,FALSE,38717,19.7241242857143,6000,1207,0.304609218436874,546,0.292207792207792,665,0.341261633919338,all
38717_7726_MF_64,FALSE,FALSE,FALSE,38717,22.9794296428571,7000,1423,0.333166332665331,632,0.32034632034632,765,0.36918304033092,all
38717_7726_MF_64,FALSE,FALSE,FALSE,38717,26.1768678571429,8000,1638,0.356212424849699,716,0.343073593073593,860,0.387797311271975,all
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,3.27241285714286,1000,18,0.06,20,0.18,16,0.1,100
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,6.52986357142857,2000,40,0.12,31,0.21,39,0.21,100
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,9.68838535714286,3000,59,0.18,43,0.22,56,0.26,100
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,13.052125,4000,74,0.18,61,0.29,76,0.29,100
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,16.1011839285714,5000,96,0.19,72,0.31,99,0.3,100
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,19.4292482142857,6000,111,0.22,91,0.38,121,0.34,100
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,22.6789764285714,7000,125,0.24,107,0.4,145,0.38,100
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,25.8587057142857,8000,138,0.25,125,0.41,159,0.39,100
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,3.27241285714286,1000,39,0.135,33,0.13,29,0.14,200
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,6.52986357142857,2000,79,0.2,62,0.195,52,0.19,200
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,9.68838535714286,3000,111,0.245,90,0.23,72,0.245,200
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,13.052125,4000,150,0.295,120,0.275,101,0.26,200
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,16.1011839285714,5000,180,0.33,151,0.3,126,0.275,200
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,19.4292482142857,6000,209,0.365,184,0.35,158,0.345,200
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,22.6789764285714,7000,261,0.395,210,0.385,184,0.38,200
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,25.8587057142857,8000,294,0.42,236,0.41,208,0.39,200
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,3.27241285714286,1000,52,0.13,40,0.13,57,0.163333333333333,300
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,6.52986357142857,2000,101,0.193333333333333,91,0.19,111,0.223333333333333,300
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,9.68838535714286,3000,140,0.233333333333333,127,0.223333333333333,156,0.266666666666667,300
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,13.052125,4000,200,0.273333333333333,175,0.263333333333333,209,0.296666666666667,300
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,16.1011839285714,5000,246,0.303333333333333,216,0.29,237,0.32,300
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,19.4292482142857,6000,283,0.33,270,0.326666666666667,282,0.356666666666667,300
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,22.6789764285714,7000,334,0.353333333333333,316,0.353333333333333,331,0.386666666666667,300
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,25.8587057142857,8000,389,0.38,353,0.366666666666667,382,0.41,300
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,3.27241285714286,1000,62,0.115,50,0.14,47,0.145,400
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,6.52986357142857,2000,125,0.185,108,0.205,101,0.2325,400
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,9.68838535714286,3000,168,0.2125,147,0.235,136,0.255,400
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,13.052125,4000,225,0.2425,197,0.29,190,0.2775,400
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,16.1011839285714,5000,270,0.275,248,0.3175,239,0.3175,400
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,19.4292482142857,6000,321,0.31,312,0.3625,296,0.3675,400
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,22.6789764285714,7000,384,0.335,373,0.39,347,0.395,400
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,25.8587057142857,8000,441,0.365,418,0.3975,405,0.4225,400
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,3.27241285714286,1000,77,0.104,66,0.13,64,0.164,500
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,6.52986357142857,2000,143,0.156,134,0.19,130,0.24,500
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,9.68838535714286,3000,218,0.204,182,0.228,188,0.278,500
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,13.052125,4000,294,0.24,245,0.27,253,0.306,500
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,16.1011839285714,5000,358,0.264,293,0.282,313,0.34,500
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,19.4292482142857,6000,411,0.296,360,0.328,370,0.382,500
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,22.6789764285714,7000,476,0.32,424,0.35,428,0.402,500
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,25.8587057142857,8000,542,0.356,469,0.362,484,0.418,500
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,3.27241285714286,1000,96,0.11,80,0.155,72,0.158333333333333,600
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,6.52986357142857,2000,193,0.183333333333333,150,0.198333333333333,144,0.238333333333333,600
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,9.68838535714286,3000,282,0.243333333333333,215,0.235,215,0.29,600
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,13.052125,4000,379,0.281666666666667,293,0.285,293,0.313333333333333,600
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,16.1011839285714,5000,462,0.308333333333333,357,0.303333333333333,355,0.343333333333333,600
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,19.4292482142857,6000,530,0.34,443,0.34,427,0.393333333333333,600
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,22.6789764285714,7000,624,0.361666666666667,525,0.365,495,0.416666666666667,600
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,25.8587057142857,8000,713,0.393333333333333,582,0.375,570,0.443333333333333,600
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,3.27241285714286,1000,97,0.0971428571428571,81,0.138571428571429,93,0.178571428571429,700
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,6.52986357142857,2000,194,0.165714285714286,160,0.191428571428571,180,0.254285714285714,700
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,9.68838535714286,3000,294,0.207142857142857,228,0.227142857142857,248,0.302857142857143,700
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,13.052125,4000,399,0.25,307,0.274285714285714,338,0.321428571428571,700
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,16.1011839285714,5000,478,0.277142857142857,382,0.291428571428571,409,0.351428571428571,700
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,19.4292482142857,6000,572,0.31,466,0.324285714285714,491,0.391428571428571,700
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,22.6789764285714,7000,679,0.328571428571429,548,0.352857142857143,573,0.422857142857143,700
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,25.8587057142857,8000,782,0.362857142857143,605,0.364285714285714,652,0.441428571428571,700
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,3.27241285714286,1000,112,0.09875,79,0.13375,97,0.17125,800
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,6.52986357142857,2000,219,0.16,162,0.19125,187,0.24,800
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,9.68838535714286,3000,318,0.21125,227,0.22375,268,0.28125,800
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,13.052125,4000,436,0.2575,312,0.2675,357,0.30375,800
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,16.1011839285714,5000,530,0.2875,387,0.2875,434,0.3375,800
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,19.4292482142857,6000,618,0.3225,476,0.32375,530,0.38,800
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,22.6789764285714,7000,725,0.3375,564,0.34625,608,0.4075,800
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,25.8587057142857,8000,829,0.365,628,0.3575,692,0.42875,800
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,3.27241285714286,1000,126,0.105555555555556,91,0.136666666666667,97,0.167777777777778,900
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,6.52986357142857,2000,248,0.164444444444444,181,0.194444444444444,191,0.242222222222222,900
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,9.68838535714286,3000,343,0.205555555555556,255,0.232222222222222,271,0.285555555555556,900
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,13.052125,4000,466,0.25,349,0.277777777777778,368,0.31,900
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,16.1011839285714,5000,572,0.283333333333333,433,0.297777777777778,449,0.345555555555556,900
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,19.4292482142857,6000,670,0.314444444444444,532,0.335555555555556,540,0.395555555555556,900
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,22.6789764285714,7000,783,0.337777777777778,629,0.361111111111111,623,0.423333333333333,900
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,25.8587057142857,8000,897,0.362222222222222,699,0.372222222222222,714,0.444444444444444,900
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,3.27241285714286,1000,211,0.108216432865731,93,0.136363636363636,108,0.165460186142709,all
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,6.52986357142857,2000,418,0.170340681362725,183,0.192640692640693,213,0.239917269906929,all
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,9.68838535714286,3000,616,0.215931863727455,259,0.230519480519481,305,0.282316442605998,all
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,13.052125,4000,844,0.256513026052104,353,0.274891774891775,412,0.306101344364012,all
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,16.1011839285714,5000,1044,0.284068136272545,438,0.295454545454545,500,0.339193381592554,all
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,19.4292482142857,6000,1245,0.317635270541082,538,0.333333333333333,599,0.386763185108583,all
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,22.6789764285714,7000,1466,0.338677354709419,635,0.358225108225108,695,0.415718717683557,all
38718_7726_MF_65,FALSE,FALSE,FALSE,38718,25.8587057142857,8000,1681,0.366733466933868,705,0.369047619047619,794,0.43846949327818,all
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,3.16824571428571,1000,17,0.16,9,0.08,14,0.15,100
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,6.60479571428571,2000,52,0.26,25,0.17,37,0.25,100
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,9.7469175,3000,83,0.31,37,0.21,54,0.27,100
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,12.85845,4000,102,0.36,43,0.22,76,0.32,100
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,16.0805432142857,5000,122,0.38,57,0.23,101,0.36,100
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,19.259565,6000,153,0.4,66,0.24,121,0.4,100
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,22.4318985714286,7000,179,0.42,79,0.25,129,0.42,100
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,25.6410610714286,8000,203,0.45,91,0.27,147,0.42,100
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,3.16824571428571,1000,29,0.12,37,0.115,36,0.15,200
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,6.60479571428571,2000,79,0.245,70,0.185,64,0.175,200
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,9.7469175,3000,115,0.29,97,0.23,91,0.22,200
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,12.85845,4000,150,0.335,117,0.25,124,0.265,200
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,16.0805432142857,5000,189,0.34,152,0.28,155,0.295,200
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,19.259565,6000,239,0.38,176,0.3,181,0.32,200
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,22.4318985714286,7000,270,0.405,202,0.315,201,0.33,200
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,25.6410610714286,8000,312,0.44,225,0.33,227,0.345,200
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,3.16824571428571,1000,52,0.166666666666667,26,0.08,44,0.146666666666667,300
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,6.60479571428571,2000,125,0.276666666666667,65,0.143333333333333,84,0.2,300
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,9.7469175,3000,183,0.303333333333333,98,0.19,131,0.233333333333333,300
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,12.85845,4000,236,0.336666666666667,133,0.216666666666667,174,0.26,300
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,16.0805432142857,5000,295,0.363333333333333,181,0.236666666666667,229,0.303333333333333,300
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,19.259565,6000,353,0.383333333333333,217,0.26,274,0.33,300
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,22.4318985714286,7000,408,0.423333333333333,244,0.283333333333333,319,0.346666666666667,300
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,25.6410610714286,8000,473,0.436666666666667,272,0.293333333333333,366,0.366666666666667,300
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,3.16824571428571,1000,64,0.1675,41,0.1,68,0.145,400
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,6.60479571428571,2000,132,0.2375,93,0.1725,121,0.2175,400
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,9.7469175,3000,206,0.27,139,0.21,187,0.28,400
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,12.85845,4000,264,0.3075,181,0.23,252,0.315,400
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,16.0805432142857,5000,328,0.335,243,0.255,316,0.3525,400
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,19.259565,6000,400,0.3575,286,0.2775,374,0.3875,400
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,22.4318985714286,7000,469,0.385,324,0.31,426,0.4075,400
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,25.6410610714286,8000,529,0.395,358,0.32,475,0.42,400
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,3.16824571428571,1000,60,0.142,56,0.106,77,0.142,500
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,6.60479571428571,2000,151,0.238,115,0.164,143,0.222,500
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,9.7469175,3000,223,0.278,166,0.202,214,0.272,500
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,12.85845,4000,276,0.31,212,0.224,297,0.3,500
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,16.0805432142857,5000,336,0.33,288,0.25,367,0.324,500
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,19.259565,6000,404,0.348,336,0.266,430,0.354,500
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,22.4318985714286,7000,465,0.38,377,0.292,485,0.374,500
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,25.6410610714286,8000,534,0.39,418,0.312,555,0.392,500
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,3.16824571428571,1000,73,0.165,70,0.108333333333333,69,0.135,600
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,6.60479571428571,2000,189,0.26,137,0.175,147,0.206666666666667,600
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,9.7469175,3000,294,0.3,203,0.206666666666667,222,0.253333333333333,600
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,12.85845,4000,375,0.325,255,0.226666666666667,292,0.286666666666667,600
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,16.0805432142857,5000,459,0.345,339,0.256666666666667,375,0.313333333333333,600
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,19.259565,6000,562,0.373333333333333,401,0.28,447,0.346666666666667,600
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,22.4318985714286,7000,674,0.4,457,0.306666666666667,511,0.368333333333333,600
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,25.6410610714286,8000,775,0.421666666666667,508,0.326666666666667,584,0.39,600
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,3.16824571428571,1000,96,0.162857142857143,69,0.104285714285714,102,0.157142857142857,700
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,6.60479571428571,2000,215,0.237142857142857,133,0.165714285714286,192,0.23,700
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,9.7469175,3000,326,0.27,199,0.202857142857143,280,0.278571428571429,700
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,12.85845,4000,411,0.301428571428571,258,0.228571428571429,386,0.317142857142857,700
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,16.0805432142857,5000,515,0.322857142857143,345,0.26,477,0.344285714285714,700
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,19.259565,6000,616,0.341428571428571,406,0.278571428571429,558,0.374285714285714,700
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,22.4318985714286,7000,710,0.362857142857143,467,0.3,629,0.384285714285714,700
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,25.6410610714286,8000,812,0.385714285714286,523,0.321428571428571,718,0.408571428571429,700
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,3.16824571428571,1000,106,0.16875,84,0.11,115,0.16125,800
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,6.60479571428571,2000,238,0.2475,161,0.1775,207,0.22375,800
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,9.7469175,3000,353,0.28125,236,0.2175,301,0.26875,800
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,12.85845,4000,451,0.30875,302,0.235,402,0.305,800
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,16.0805432142857,5000,567,0.33625,385,0.26,500,0.33375,800
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,19.259565,6000,668,0.36125,454,0.28125,583,0.3625,800
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,22.4318985714286,7000,775,0.3825,523,0.31,664,0.37875,800
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,25.6410610714286,8000,888,0.41,583,0.33,755,0.4,800
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,3.16824571428571,1000,108,0.165555555555556,89,0.107777777777778,112,0.154444444444444,900
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,6.60479571428571,2000,251,0.254444444444444,171,0.171111111111111,216,0.226666666666667,900
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,9.7469175,3000,370,0.287777777777778,248,0.207777777777778,318,0.271111111111111,900
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,12.85845,4000,470,0.31,322,0.232222222222222,427,0.306666666666667,900
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,16.0805432142857,5000,574,0.326666666666667,420,0.264444444444444,529,0.334444444444444,900
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,19.259565,6000,695,0.347777777777778,494,0.284444444444444,618,0.362222222222222,900
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,22.4318985714286,7000,813,0.373333333333333,563,0.31,705,0.378888888888889,900
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,25.6410610714286,8000,943,0.394444444444444,624,0.331111111111111,805,0.397777777777778,900
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,3.16824571428571,1000,202,0.164829659318637,89,0.106060606060606,123,0.154084798345398,all
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,6.60479571428571,2000,442,0.246993987975952,172,0.168831168831169,232,0.223371251292658,all
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,9.7469175,3000,671,0.282064128256513,250,0.204545454545455,340,0.267838676318511,all
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,12.85845,4000,857,0.309619238476954,324,0.228354978354978,461,0.302998965873837,all
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,16.0805432142857,5000,1076,0.333667334669339,423,0.25974025974026,573,0.332988624612203,all
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,19.259565,6000,1281,0.355711422845691,498,0.28030303030303,672,0.361944157187177,all
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,22.4318985714286,7000,1495,0.380761523046092,569,0.307359307359307,765,0.377456049638056,all
38719_7726_MF_66,FALSE,FALSE,FALSE,38719,25.6410610714286,8000,1714,0.400801603206413,631,0.327922077922078,875,0.399172699069286,all
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,3.10686321428571,1000,16,0.91,12,0.1,17,0.14,100
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,6.26453285714286,2000,29,0.91,24,0.13,42,0.24,100
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,9.47109071428571,3000,48,0.98,36,0.19,54,0.26,100
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,12.7298503571429,4000,64,0.99,46,0.21,75,0.3,100
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,16.0237689285714,5000,86,0.99,59,0.27,93,0.33,100
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,19.2066017857143,6000,99,1,65,0.29,112,0.35,100
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,22.5046971428571,7000,113,1,78,0.31,128,0.37,100
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,25.7681446428571,8000,132,1,88,0.33,143,0.37,100
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,3.10686321428571,1000,45,0.915,34,0.14,14,0.095,200
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,6.26453285714286,2000,80,0.92,71,0.2,40,0.18,200
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,9.47109071428571,3000,120,0.99,108,0.255,55,0.21,200
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,12.7298503571429,4000,155,0.995,135,0.28,79,0.25,200
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,16.0237689285714,5000,201,1,170,0.31,102,0.28,200
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,19.2066017857143,6000,247,1,199,0.325,121,0.29,200
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,22.5046971428571,7000,290,1,231,0.345,153,0.32,200
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,25.7681446428571,8000,333,1,264,0.37,174,0.335,200
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,3.10686321428571,1000,51,0.93,42,0.116666666666667,37,0.116666666666667,300
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,6.26453285714286,2000,93,0.936666666666667,82,0.163333333333333,79,0.196666666666667,300
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,9.47109071428571,3000,147,0.986666666666667,124,0.22,112,0.243333333333333,300
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,12.7298503571429,4000,194,0.986666666666667,158,0.233333333333333,167,0.28,300
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,16.0237689285714,5000,247,0.993333333333333,198,0.26,199,0.3,300
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,19.2066017857143,6000,296,1,242,0.29,242,0.323333333333333,300
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,22.5046971428571,7000,353,1,272,0.306666666666667,281,0.336666666666667,300
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,25.7681446428571,8000,406,1,306,0.32,326,0.356666666666667,300
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,3.10686321428571,1000,60,0.9125,51,0.12,33,0.1075,400
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,6.26453285714286,2000,114,0.9175,108,0.1775,95,0.1875,400
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,9.47109071428571,3000,180,0.9775,164,0.2225,134,0.2375,400
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,12.7298503571429,4000,247,0.98,207,0.245,192,0.2825,400
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,16.0237689285714,5000,317,0.9875,260,0.27,236,0.305,400
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,19.2066017857143,6000,375,1,306,0.3,287,0.3375,400
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,22.5046971428571,7000,459,1,365,0.325,341,0.3625,400
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,25.7681446428571,8000,534,1,417,0.35,396,0.3825,400
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,3.10686321428571,1000,76,0.92,45,0.104,51,0.126,500
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,6.26453285714286,2000,144,0.922,106,0.152,114,0.2,500
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,9.47109071428571,3000,210,0.984,156,0.19,163,0.25,500
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,12.7298503571429,4000,280,0.986,206,0.22,228,0.292,500
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,16.0237689285714,5000,344,0.994,250,0.244,289,0.332,500
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,19.2066017857143,6000,424,1,290,0.27,345,0.352,500
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,22.5046971428571,7000,497,1,347,0.3,403,0.378,500
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,25.7681446428571,8000,574,1,402,0.324,471,0.402,500
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,3.10686321428571,1000,98,0.893333333333333,65,0.116666666666667,56,0.12,600
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,6.26453285714286,2000,168,0.895,144,0.176666666666667,139,0.188333333333333,600
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,9.47109071428571,3000,247,0.968333333333333,213,0.216666666666667,197,0.236666666666667,600
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,12.7298503571429,4000,333,0.973333333333333,277,0.243333333333333,276,0.276666666666667,600
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,16.0237689285714,5000,428,0.983333333333333,352,0.276666666666667,352,0.316666666666667,600
38720_7726_MF_67,TRUE,FALSE,FALSE,38720,19.2066017857143,6000,518,0.996666666666667,412,0.298333333333333,415,0.341666666666667,600
