Isolate.name,predicted_MLST.CC,fin_score,predicted_mlst_is_correct,predicted_mlst_is_single
38740_7726_MF_91,CC59,0.859160060718502,TRUE,TRUE
38741_7726_MF_92,CC5,0.956127508854782,TRUE,TRUE
38742_7726_MF_33,CC59,0.844769775678866,TRUE,TRUE
38743_7726_MF_34,CC12,0.891145218417946,TRUE,TRUE
38744_8220_MF_10,CC12,0.876491819868443,TRUE,TRUE
38745_8220_MF_13,CC5,0.935982459099342,TRUE,TRUE
38746_8220_MF_16,CC20,0.891145218417946,TRUE,TRUE
38747_8220_MF_22,CC59,0.890942823410356,TRUE,TRUE
38748_8220_MF_24,CC5,0.961281835048069,TRUE,TRUE
38749_8220_MF_25,CC8,0.890942823410356,TRUE,TRUE
38750_8220_MF_29,CC15,0.881038961038961,TRUE,TRUE
38751_8220_MF_30,CC398/CC5561,0.849553044358239,TRUE,TRUE
38752_8220_MF_37,CC8,0.876397368864902,TRUE,TRUE
38753_8220_MF_38,CC8,0.859160060718502,TRUE,TRUE
38754_8220_MF_42,CC8,0.881038961038961,TRUE,TRUE
38755_8220_MF_45,CC59,0.854477989542924,TRUE,TRUE
38756_8220_MF_48,CC78,0.903187721369539,TRUE,TRUE
38757_8220_MF_52,CC101,0.886247259234272,TRUE,TRUE
38758_8220_MF_54,CC59,0.866871310507674,TRUE,TRUE
38759_8220_MF_57,CC5,0.953550345758138,TRUE,TRUE
38760_8220_MF_66,CC59,0.876289424860853,TRUE,TRUE
38761_8220_MF_8,CC25,0.906001011975038,TRUE,TRUE
38762_8328_MF_17,CC59,0.873530106257379,TRUE,TRUE
38763_8328_MF_24,CC25,0.87603305785124,TRUE,TRUE
38764_8328_MF_25,CC121,0.851205936920223,TRUE,TRUE
38765_8328_MF_30,CC15,0.881038961038961,TRUE,TRUE
38766_7285_NS_9,CC15,0.883413729128014,TRUE,TRUE
38767_7285_NS_10,CC97,0.908348794063079,TRUE,TRUE
38768_7726_MF_1,CC5,0.918063754427391,TRUE,TRUE
38769_7726_MF_2,CC15,0.880026986001012,TRUE,TRUE
38770_7726_MF_3,CC30,0.85901838421319,TRUE,TRUE
38771_7726_MF_4,CC8,0.856684095125654,TRUE,TRUE
38772_7726_MF_5,CC30,0.863983808399393,TRUE,TRUE
38773_7726_MF_6,CC72,0.886044864226682,TRUE,TRUE
38774_7726_MF_7,CC121,0.876397368864902,TRUE,TRUE
