threshold,mecA_TP,mecA_FP,mecA_TN,mecA_FN,lukF_TP,lukF_FP,lukF_TN,lukF_FN,lukS_TP,lukS_FP,lukS_TN,lukS_FN,mecA_sensitivity,mecA_specificity,lukF_sensitivity,lukF_specificity,lukS_sensitivity,lukS_specificity,mean_estimated_coverage,n_sequence_used,reads_used
0.6,98,4,258,31,37,1,345,8,34,1,345,11,0.75968992248062,0.984732824427481,0.822222222222222,0.997109826589595,0.755555555555556,0.997109826589595,3.22333158385093,100,1000
0.6,128,4,258,1,45,1,345,0,45,1,345,0,0.992248062015504,0.984732824427481,1,0.997109826589595,1,0.997109826589595,6.45146549050055,100,2000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,9.66276932773109,100,3000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,12.906317971319,100,4000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,16.1235362659847,100,5000
0.6,129,5,257,0,45,1,345,0,45,1,345,0,1,0.980916030534351,1,0.997109826589595,1,0.997109826589595,19.3593097332846,100,6000
0.6,129,5,257,0,45,1,345,0,45,1,345,0,1,0.980916030534351,1,0.997109826589595,1,0.997109826589595,22.5894987385824,100,7000
0.6,129,6,256,0,45,1,345,0,45,1,345,0,1,0.977099236641221,1,0.997109826589595,1,0.997109826589595,25.8102185869565,100,8000
0.6,98,3,259,31,39,1,345,6,36,1,345,9,0.75968992248062,0.988549618320611,0.866666666666667,0.997109826589595,0.8,0.997109826589595,3.22333158385093,200,1000
0.6,128,4,258,1,45,1,345,0,45,1,345,0,0.992248062015504,0.984732824427481,1,0.997109826589595,1,0.997109826589595,6.45146549050055,200,2000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,9.66276932773109,200,3000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,12.906317971319,200,4000
0.6,129,4,258,0,45,1,345,0,45,1,345,0,1,0.984732824427481,1,0.997109826589595,1,0.997109826589595,16.1235362659847,200,5000
0.6,129,6,256,0,45,1,345,0,45,1,345,0,1,0.977099236641221,1,0.997109826589595,1,0.997109826589595,19.3593097332846,200,6000
0.6,129,6,256,0,45,1,345,0,45,1,345,0,1,0.977099236641221,1,0.997109826589595,1,0.997109826589595,22.5894987385824,200,7000
0.6,129,7,255,0,45,1,345,0,45,1,345,0,1,0.973282442748092,1,0.997109826589595,1,0.997109826589595,25.8102185869565,200,8000
