barcode_id,snps_type,snps_used,max_reads_used,call_type,fin_score,proportion_matched,proportion_scheme_found,estimated_coverage,predicted_MLST.CC,reads_w_result,Isolate.name,ST/CC,MRSA,PVL,Linked,Linked Isolate,CC,predicted_mlst_is_single,predicted_mlst_is_correct
1,random_400,18,5000,fast,0.891975308641974,0.944444444444444,0.944444444444444,8.00557607142857,"CC8,CC1,CC78,CC97,CC12,CC772/CC834,CC361/CC15","17,17,17,17,17,17,17",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,18,6000,fast,0.891975308641974,0.944444444444444,0.944444444444444,9.12389428571429,"CC8,CC1,CC78,CC97,CC12,CC772/CC834,CC361/CC15","17,17,17,17,17,17,17",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,18,7000,fast,0.891975308641974,0.944444444444444,0.944444444444444,11.0822728571429,"CC8,CC1,CC78,CC97,CC12,CC772/CC834,CC361/CC15","17,17,17,17,17,17,17",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,18,8000,fast,0.891975308641974,0.944444444444444,0.944444444444444,13.0191557142857,"CC8,CC1,CC78,CC97,CC12,CC772/CC834,CC361/CC15","17,17,17,17,17,17,17",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,200,1000,fast,0.3451,0.58,0.595,1.64345678571429,CC8,116,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,200,2000,fast,0.688875,0.825,0.835,3.44701821428571,CC8,165,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,200,3000,fast,0.7964,0.88,0.905,5.23615357142857,CC8,176,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,200,4000,fast,0.8326,0.905,0.92,6.66611607142857,CC8,181,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,200,5000,fast,0.8835,0.93,0.95,8.00557607142857,CC8,186,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,200,6000,fast,0.88815,0.93,0.955,9.12389428571429,CC8,186,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,200,7000,fast,0.8928,0.93,0.96,11.0822728571429,CC8,186,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,200,8000,fast,0.89745,0.93,0.965,13.0191557142857,CC8,186,STR1037-030713,8/8,-,-,N,"",CC8,TRUE,TRUE
1,random_400,23,1000,fast,0.228733459357278,0.478260869565217,0.478260869565217,1.64345678571429,"CC5,CC8,CC1,CC45,CC59,CC6,CC130,CC80,CC361,CC72,CC15,CC78,CC97,CC398/CC5561,CC121,CC12,CC772/CC834,CC789,CC425,CC7,CC1943,CC10,CC361/CC15,CC25,CC93,CC20","11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,23,2000,fast,0.612476370510397,0.782608695652174,0.782608695652174,3.44701821428571,"CC5,CC8,CC1,CC45,CC59,CC6,CC130,CC80,CC361,CC72,CC15,CC78,CC97,CC398/CC5561,CC121,CC12,CC772/CC834,CC789,CC425,CC7,CC1943,CC361/CC15,CC25,CC93","18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,23,3000,fast,0.833648393194708,0.91304347826087,0.91304347826087,5.23615357142857,"CC8,CC1,CC78,CC97,CC12,CC772/CC834,CC361/CC15","21,21,21,21,21,21,21",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,23,4000,fast,0.833648393194708,0.91304347826087,0.91304347826087,6.66611607142857,"CC8,CC1,CC78,CC97,CC12,CC772/CC834,CC361/CC15","21,21,21,21,21,21,21",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,23,5000,fast,0.914933837429112,0.956521739130435,0.956521739130435,8.00557607142857,"CC8,CC1,CC78,CC97,CC12,CC772/CC834,CC361/CC15","22,22,22,22,22,22,22",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,23,6000,fast,0.914933837429112,0.956521739130435,0.956521739130435,9.12389428571429,"CC8,CC1,CC78,CC97,CC12,CC772/CC834,CC361/CC15","22,22,22,22,22,22,22",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,23,7000,fast,0.914933837429112,0.956521739130435,0.956521739130435,11.0822728571429,"CC8,CC1,CC78,CC97,CC12,CC772/CC834,CC361/CC15","22,22,22,22,22,22,22",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
1,random_400,23,8000,fast,0.914933837429112,0.956521739130435,0.956521739130435,13.0191557142857,"CC8,CC1,CC78,CC97,CC12,CC772/CC834,CC361/CC15","22,22,22,22,22,22,22",STR1037-030713,8/8,-,-,N,"",CC8,FALSE,TRUE
