barcode,n_reads,st,coverage,arcC,aroE,glpF,gmk,pta,tpi,yqiL,basecall_method
33,1000,ND,47.41,22*,87*,"",298*,1*,55*,"",sup
33,2000,ND,58.00,22*,87*,44*,298*,43*,55,"",sup
33,3000,ND,71.64,22*,168*,44*,298*,43*,55,51*,sup
33,4000,ND,73.06,6*,168*,44*,298*,43*,55,51*,sup
33,5000,ND,82.49,6*,373*,44*,616,43*,55,51*,sup
33,6000,ND,82.55,6*,168*,44*,616,43*,55,51*,sup
33,7000,ND,82.55,6*,168*,44*,616,43*,55,51*,sup
33,8000,ND,82.55,6*,168*,44*,616,43*,55,51*,sup
33,9000,ND,82.55,6*,168*,44*,616,43*,55,51*,sup
33,10000,ND,82.55,6*,168*,44*,616,43*,55,51*,sup
34,1000,ND,42.74,3,85*,750*,1,285*,17*,"",sup
34,2000,ND,58.10,3,129*,750*,1,4,630*,"",sup
34,3000,ND,58.13,3,129*,750*,1,4,630*,"",sup
34,4000,ND,58.82,3,129*,750,1,4,630*,"",sup
34,5000,ND,57.57,3,129*,750,1,4,255*,296*,sup
34,6000,ND,57.78,3,129*,750,1,4,290*,296*,sup
34,7000,ND,68.98,3,612*,1,1,4,290*,296*,sup
34,8000,ND,69.01,3,612*,1,1,4,290*,296*,sup
34,9000,ND,69.04,3,612*,1,1,4,290*,296*,sup
34,10000,ND,80.97,3,612*,1,1,4,4*,296*,sup
41,1000,ND,14.38,"",3*,"",79*,588*,"","",sup
41,2000,ND,25.73,121*,3*,"",79*,609*,57*,12*,sup
41,3000,ND,25.76,121*,3*,"",79*,609*,121*,12*,sup
41,4000,ND,37.64,121*,3*,"",79*,350*,742*,12*,sup
41,5000,ND,64.46,121*,3*,1,203*,350*,742*,12*,sup
41,6000,ND,65.16,121*,3*,1,1,309*,742*,314*,sup
41,7000,ND,78.36,121*,3*,1,1,244*,4,314*,sup
41,8000,ND,78.43,121*,3*,1,1,244*,4,372*,sup
41,9000,ND,78.78,121*,3,1,1,244*,4,372*,sup
41,10000,ND,83.84,2,3,1,1,4*,4,372*,sup
42,1000,ND,28.66,395*,327*,666*,"",11*,30*,"",sup
42,2000,ND,45.09,395*,80*,666*,62*,11*,227*,11,sup
42,3000,ND,46.03,395*,530*,666*,62*,11*,349*,11,sup
42,4000,ND,63.38,710*,530*,1,62*,11*,349*,11,sup
42,5000,ND,63.61,710*,530*,1,62*,11,349*,11,sup
42,6000,ND,73.70,710*,530*,1,8*,11,278*,11,sup
42,7000,ND,88.22,710*,530*,1,8*,11,5,11,sup
42,8000,ND,95.72,1*,678*,1,8*,11,5,11,sup
42,9000,ND,96.17,1,212*,1,8*,11,5,11,sup
42,10000,ND,99.07,1,212*,1,8*,11,5,11,sup
49,1000,ND,41.18,"",228*,"",28*,11*,"",3,sup
49,2000,ND,52.62,425*,373*,"",28*,11*,19*,3,sup
49,3000,ND,52.78,425*,373*,"",28*,11*,19*,3,sup
49,4000,ND,52.85,425*,373*,"",28*,11*,19*,3,sup
49,5000,ND,52.88,425*,49*,"",28*,11*,19*,3,sup
49,6000,ND,54.72,425*,106*,"",28*,11*,19*,3,sup
49,7000,ND,54.92,425*,106*,"",28*,11*,867*,3,sup
49,8000,ND,55.37,425*,106*,"",15,11*,867*,3,sup
49,9000,ND,68.93,3*,106*,"",15,11*,867*,3,sup
49,10000,ND,71.35,543*,357*,907*,15,11*,19*,3,sup
50,1000,ND,12.14,"",816*,"","",585*,19*,"",sup
50,2000,ND,43.20,"",469*,14*,"",860*,19*,894*,sup
50,3000,ND,65.12,124*,1*,14*,"",860*,19*,894*,sup
50,4000,ND,86.63,3*,395*,14*,15*,860*,19,3*,sup
50,5000,7257,88.50,3,1*,14*,15*,860*,19,3*,sup
50,6000,7257,88.50,3,1*,14*,15*,860*,19,3*,sup
50,7000,7257,88.50,3,1*,14*,15*,860*,19,3*,sup
50,8000,7257,89.75,3,1*,14*,15,860*,19,3*,sup
50,9000,7257,97.71,3,1*,14*,15,860*,19,3*,sup
50,10000,101,99.07,3,1*,14,15,11*,19,3*,sup
57,1000,ND,22.29,267*,72*,"",8*,116*,36*,"",sup
57,2000,ND,36.26,267*,531*,1*,8*,116*,36*,182*,sup
57,3000,ND,56.72,267*,531*,1*,8*,113*,57*,11*,sup
57,4000,ND,58.34,267*,87*,1,8*,113*,57*,11*,sup
57,5000,ND,68.80,267*,87*,1,8,113*,5*,11*,sup
